audio_path,species,duration_s,has_annotation
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240420_065840.wav,sb,52.465487528344674,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240420_065937.wav,sb,31.79972789115646,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240420_070019.wav,sb,61.40517006802721,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240420_070332.wav,sb,45.61560090702948,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240420_070418.wav,sb,65.85179138321996,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240420_070524.wav,sb,47.217777777777776,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240420_070612.wav,sb,53.057596371882084,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240420_070704.wav,sb,43.59546485260771,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240420_070813.wav,sb,58.53750566893424,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240420_070950.wav,sb,97.26839002267573,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240420_071136.wav,sb,25.518730158730158,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240420_071523.wav,sb,45.94068027210884,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_165406.wav,sb,34.80671201814059,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_165443.wav,sb,25.588390022675735,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_165509.wav,sb,30.127891156462585,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_165557.wav,sb,35.131791383219955,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_165630.wav,sb,34.17977324263038,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_165704.wav,sb,31.927437641723355,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_165736.wav,sb,42.71310657596372,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_165922.wav,sb,36.548208616780045,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_165957.wav,sb,48.692244897959185,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_170148.wav,sb,32.03192743764173,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_170220.wav,sb,33.274195011337866,True
/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20240430_170253.wav,sb,53.336235827664396,True
