epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1900.15,1.84142,1.37934,1.30589,0.60837,0.6444,0.6342,0.32114,1.70028,1.40723,1.49997,0.000848969,0.000848969,0.000848969
43,1944.87,1.79077,1.37223,1.29107,0.60631,0.5726,0.59195,0.27737,1.76992,1.49289,1.54218,0.000834822,0.000834822,0.000834822
44,1986.9,1.75771,1.36659,1.30099,0.63926,0.67061,0.66001,0.3501,1.62785,1.33901,1.4801,0.000820675,0.000820675,0.000820675
45,2028.8,1.74464,1.33612,1.29094,0.64324,0.67324,0.67534,0.35501,1.59488,1.29731,1.44684,0.000806528,0.000806528,0.000806528
46,2070.06,1.71959,1.31209,1.28221,0.62928,0.6559,0.66536,0.34539,1.58865,1.38476,1.42288,0.00079238,0.00079238,0.00079238
47,2113.27,1.74299,1.34699,1.28927,0.62367,0.67739,0.65805,0.34446,1.62594,1.33422,1.46581,0.000778233,0.000778233,0.000778233
48,2156.43,1.69591,1.2982,1.29157,0.65249,0.59908,0.63224,0.32935,1.64844,1.3893,1.47725,0.000764086,0.000764086,0.000764086
49,2199.68,1.74143,1.32666,1.29075,0.6259,0.69199,0.66632,0.34974,1.59248,1.29521,1.44963,0.000749939,0.000749939,0.000749939
50,2244.07,1.6766,1.29575,1.30795,0.65425,0.64196,0.64546,0.33459,1.66326,1.3373,1.48756,0.000735792,0.000735792,0.000735792
51,2285.74,1.70345,1.28082,1.27963,0.63943,0.65361,0.65708,0.34426,1.61395,1.31084,1.46476,0.000721645,0.000721645,0.000721645
52,2340.85,1.68156,1.28425,1.27742,0.63955,0.68056,0.67124,0.35198,1.58308,1.2845,1.45371,0.000707498,0.000707498,0.000707498
53,2383.53,1.67921,1.28161,1.28346,0.63436,0.65867,0.66164,0.34209,1.62633,1.32312,1.46601,0.000693351,0.000693351,0.000693351
54,2424.66,1.69159,1.26405,1.27588,0.6417,0.66712,0.65537,0.3455,1.60287,1.29661,1.44691,0.000679204,0.000679204,0.000679204
55,2468.36,1.65289,1.26045,1.27708,0.6544,0.68449,0.68614,0.35923,1.59522,1.2573,1.45085,0.000665057,0.000665057,0.000665057
56,2513.67,1.69714,1.2882,1.2783,0.63686,0.65691,0.65556,0.34473,1.64077,1.28034,1.48683,0.000650909,0.000650909,0.000650909
57,2555.22,1.68147,1.26454,1.26415,0.7001,0.63901,0.69175,0.3781,1.57383,1.23582,1.42119,0.000636762,0.000636762,0.000636762
58,2594.81,1.66595,1.25213,1.25728,0.64165,0.68845,0.6751,0.3665,1.60988,1.28259,1.44724,0.000622615,0.000622615,0.000622615
59,2637.7,1.616,1.22105,1.27056,0.6652,0.63888,0.67152,0.35272,1.64607,1.27524,1.51854,0.000608468,0.000608468,0.000608468
60,2679.72,1.67635,1.24407,1.25049,0.67345,0.66293,0.68116,0.36495,1.60311,1.25979,1.45009,0.000594321,0.000594321,0.000594321
61,2722.82,1.66914,1.24323,1.25054,0.64478,0.66316,0.67004,0.34171,1.63759,1.29879,1.50642,0.000580174,0.000580174,0.000580174
62,2765.93,1.6577,1.22741,1.24077,0.65107,0.66859,0.67452,0.36287,1.58816,1.27789,1.4385,0.000566027,0.000566027,0.000566027
63,2807.63,1.61059,1.18577,1.23744,0.63247,0.66385,0.65936,0.34372,1.63984,1.33006,1.48858,0.00055188,0.00055188,0.00055188
64,2855.27,1.66075,1.22071,1.23971,0.66188,0.64303,0.65704,0.32813,1.65909,1.32397,1.52023,0.000537733,0.000537733,0.000537733
65,2905.59,1.60457,1.19674,1.24552,0.63381,0.68736,0.67712,0.34775,1.63122,1.26763,1.4839,0.000523586,0.000523586,0.000523586
66,2945.7,1.71919,1.23742,1.22737,0.6519,0.66525,0.67034,0.3495,1.61563,1.28526,1.47129,0.000509438,0.000509438,0.000509438
67,2987.63,1.59348,1.16885,1.23528,0.66476,0.69799,0.6942,0.37222,1.55613,1.22305,1.41481,0.000495291,0.000495291,0.000495291
68,3028.26,1.6374,1.19975,1.22806,0.67966,0.66813,0.70051,0.37173,1.55929,1.24642,1.42382,0.000481144,0.000481144,0.000481144
69,3069.72,1.62837,1.18968,1.23637,0.69534,0.66093,0.68881,0.37063,1.57786,1.2561,1.43412,0.000466997,0.000466997,0.000466997
70,3110.97,1.67461,1.22719,1.22412,0.67872,0.65331,0.68419,0.36881,1.61363,1.26457,1.48142,0.00045285,0.00045285,0.00045285
71,3151.9,1.61734,1.18291,1.21918,0.66927,0.66635,0.68603,0.37455,1.57231,1.2421,1.44112,0.000438703,0.000438703,0.000438703
72,3196.55,1.60329,1.17077,1.21417,0.67844,0.69389,0.69521,0.38132,1.5735,1.21799,1.42729,0.000424556,0.000424556,0.000424556
73,3240.16,1.60979,1.16376,1.22479,0.66919,0.6765,0.68885,0.3744,1.57824,1.24473,1.44847,0.000410409,0.000410409,0.000410409
74,3282.58,1.61293,1.1792,1.2134,0.69241,0.64545,0.68,0.36015,1.60864,1.25956,1.47502,0.000396262,0.000396262,0.000396262
75,3326.51,1.62434,1.17141,1.2202,0.65798,0.67609,0.6824,0.36248,1.59621,1.24427,1.46015,0.000382115,0.000382115,0.000382115
76,3366.78,1.55823,1.15655,1.20885,0.64879,0.67334,0.68692,0.37485,1.56195,1.21643,1.42143,0.000367967,0.000367967,0.000367967
77,3410.23,1.56451,1.15322,1.22968,0.67031,0.66346,0.68315,0.36287,1.59573,1.24957,1.45572,0.00035382,0.00035382,0.00035382
78,3451.66,1.56355,1.15015,1.21159,0.65644,0.66523,0.67878,0.35685,1.61418,1.25622,1.47801,0.000339673,0.000339673,0.000339673
79,3491.3,1.60801,1.15876,1.20744,0.67789,0.67254,0.68945,0.37307,1.58881,1.23845,1.45522,0.000325526,0.000325526,0.000325526
80,3533.29,1.5082,1.10492,1.21364,0.66269,0.67607,0.69242,0.37774,1.57239,1.21764,1.43849,0.000311379,0.000311379,0.000311379
81,3579,1.5629,1.13879,1.21764,0.69569,0.65373,0.68912,0.3834,1.56729,1.19977,1.432,0.000297232,0.000297232,0.000297232
82,3621.48,1.55223,1.12488,1.20905,0.69386,0.67341,0.69539,0.3796,1.5949,1.22039,1.45746,0.000283085,0.000283085,0.000283085
83,3664.81,1.47554,1.08598,1.21069,0.68228,0.68313,0.70138,0.38965,1.55888,1.197,1.43333,0.000268938,0.000268938,0.000268938
84,3706.34,1.55364,1.12226,1.20051,0.66811,0.69051,0.6947,0.37451,1.58812,1.22258,1.46707,0.000254791,0.000254791,0.000254791
85,3745.75,1.54841,1.12112,1.19332,0.68128,0.67489,0.69221,0.36812,1.60559,1.23106,1.47428,0.000240644,0.000240644,0.000240644
86,3788.01,1.56127,1.1241,1.19162,0.66793,0.68744,0.68992,0.36783,1.60614,1.2271,1.4765,0.000226497,0.000226497,0.000226497
87,3832.64,1.51234,1.07538,1.20139,0.65961,0.69228,0.69838,0.37968,1.57323,1.19243,1.45046,0.000212349,0.000212349,0.000212349
88,3874.83,1.5758,1.11689,1.1901,0.68123,0.67074,0.7007,0.38083,1.59253,1.23057,1.4684,0.000198202,0.000198202,0.000198202
89,3916.66,1.5473,1.10843,1.19735,0.66679,0.6802,0.69688,0.37909,1.57442,1.22572,1.43974,0.000184055,0.000184055,0.000184055
90,3955.63,1.55012,1.10085,1.17526,0.65864,0.67755,0.67974,0.36458,1.58844,1.24101,1.45957,0.000169908,0.000169908,0.000169908
91,3998.18,1.4956,1.03178,1.19698,0.64781,0.69264,0.68393,0.37178,1.60932,1.21894,1.47979,0.000155761,0.000155761,0.000155761
92,4040.49,1.40007,0.97374,1.19574,0.66147,0.69575,0.68893,0.37147,1.60999,1.21191,1.47666,0.000141614,0.000141614,0.000141614
93,4082.66,1.49259,0.99952,1.18627,0.67507,0.68955,0.69733,0.37618,1.59138,1.20889,1.45676,0.000127467,0.000127467,0.000127467
94,4123.94,1.47799,1.00323,1.17105,0.67124,0.67844,0.69491,0.37332,1.60462,1.22362,1.4812,0.00011332,0.00011332,0.00011332
95,4167.15,1.43857,0.97371,1.18962,0.68146,0.69143,0.70186,0.37874,1.58662,1.20709,1.46304,9.91726e-05,9.91726e-05,9.91726e-05
96,4211.59,1.40395,0.95681,1.18348,0.68202,0.674,0.70137,0.38081,1.57992,1.21431,1.45396,8.50255e-05,8.50255e-05,8.50255e-05
97,4254.3,1.40692,0.95203,1.17327,0.66632,0.67811,0.68601,0.37083,1.60219,1.23902,1.47676,7.08784e-05,7.08784e-05,7.08784e-05
98,4297.15,1.45158,0.97998,1.16901,0.6678,0.68528,0.69545,0.37524,1.59013,1.23879,1.46643,5.67313e-05,5.67313e-05,5.67313e-05
99,4337.81,1.41179,0.96107,1.15547,0.67532,0.69019,0.70083,0.38555,1.57042,1.20937,1.45156,4.25842e-05,4.25842e-05,4.25842e-05
100,4377.65,1.41537,0.95733,1.16101,0.67346,0.69457,0.70163,0.38417,1.57311,1.20662,1.45442,2.84371e-05,2.84371e-05,2.84371e-05
