split,grabación,clase,score,inicio,fin,f mín (Hz),f máx (Hz),duración (s),banda (Hz),compatible,hueco a su clase (s),raw_estado,raw_clase,raw_call
val,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231218.wav,sb/ppc,0.6703999042510986,34.29546,34.493393,9292.647484896646,12689.087376022264,0.19793344,3396.4398911256176,True,6.2468109130859375,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,lw/cs,0.5140918493270874,30.965488,31.423462,8528.163967628065,10447.114312446598,0.4579727,1918.9503448185333,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/pcc,0.13029757142066956,38.455395,39.480736,7683.926729707222,11224.959962057272,1.0253445,3541.0332323500497,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,lw/cs,0.32149451971054077,38.457294,38.89918,9985.916912505067,11006.737798323851,0.44188786,1020.8208858187845,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,lw/cs,0.16750147938728333,38.45768,38.888073,9971.354527830732,11012.09415600344,0.43039298,1040.7396281727088,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/pcc,0.486632376909256,40.242634,41.998222,7946.504101191188,12059.308585037305,1.7555877,4112.804483846116,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,lw/cs,0.24992051720619202,40.265488,40.70912,9801.778104997931,11111.7476840807,0.44363505,1309.9695790827682,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,lw/cs,0.3306664228439331,40.266247,40.5,8940.936589145611,11184.13375768668,0.23375309,2243.19716854107,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/pcc,0.5151075720787048,43.804764,44.883083,9144.600117654763,12597.370089306225,1.0783195,3452.7699716514617,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/pcc,0.24250902235507965,48.85067,49.5,8209.384875522912,12653.736235690494,0.6493281,4444.351360167582,True,inf,sin fila,,
train,/home/fcandia/tesis-primate/data/raw/bolivian_squirrel_monkey__SB/20231227_0708.wav,sb/spc,0.2021394968032837,63.59972,63.7296,114.90049511527371,14259.00844838555,0.12987685,14144.107953270277,True,inf,sin fila,,
